CHR	CpG-SNP	Total-SNP	CpG/Total
chr1	113574	961084	0.118172813
chr10	79465	615274	0.12915384
chr11	70074	605608	0.115708511
chr12	64026	579315	0.110520183
chr13	50617	440089	0.115015372
chr14	46693	400497	0.11658764
chr15	45606	362046	0.125967419
chr16	50705	376451	0.134692164
chr17	48165	336641	0.143075264
chr18	43941	346642	0.126761904
chr19	34557	283450	0.121915682
chr2	122839	1017687	0.120704106
chr20	36819	269368	0.136686615
chr21	23347	179032	0.130406855
chr22	28724	173304	0.165743434
chr3	91442	865507	0.10565137
chr4	89897	889442	0.101071233
chr5	85256	777046	0.109718086
chr6	90306	807739	0.111800965
chr7	86199	719457	0.119811191
chr8	76213	668687	0.113974101
chr9	62517	531291	0.117669977
chrX	36678	477650	0.076788443
chrY	3986	34517	0.115479329
